N,P,K,TEMPERATURE,RAINFALL,CROP,SOIL TYPE,REGION,WATER REQUIREMENT
86,59,35,25.78720567,243.5120414,RICE,DRY,DESERT,5
69,46,41,23.64124821,263.1103304,RICE,DRY,DESERT,14
91,56,37,23.43191632,269.5039162,RICE,DRY,DESERT,15.5
61,52,41,24.97669518,204.8001847,RICE,DRY,DESERT,15
67,45,38,22.72791041,260.8875056,RICE,DRY,DESERT,6
79,42,37,24.87300744,295.6094492,RICE,DRY,DESERT,15
78,43,42,21.32376327,192.3197536,RICE,DRY,DESERT,16.5
75,54,36,26.29465461,257.4914906,RICE,DRY,DESERT,16
97,36,45,22.2286982,278.0791793,RICE,DRY,DESERT,7
67,47,44,26.73072391,280.4044392,RICE,DRY,DESERT,16
73,35,38,24.88921174,185.9461429,RICE,DRY,DESERT,17.5
77,36,37,26.88444878,194.5766559,RICE,DRY,DESERT,17
81,41,38,22.67846116,200.9133156,RICE,DRY,DESERT,8
68,57,43,26.08867875,182.9043504,RICE,DRY,DESERT,11.5
72,45,35,25.42977518,195.3574542,RICE,DRY,DESERT,13
61,53,43,26.40323239,223.3671883,RICE,DRY,DESERT,12.5
67,43,39,26.04371967,186.7536773,RICE,DRY,DESERT,3.5
67,58,39,25.2827223,220.1156708,RICE,DRY,DESERT,12.5
66,60,38,22.08576562,231.7364957,RICE,DRY,DESERT,14
82,43,38,23.28617173,242.3170629,RICE,DRY,DESERT,13.5
84,50,44,25.48591986,182.6549356,RICE,DRY,DESERT,4.5
81,53,42,23.67575393,233.7034975,RICE,DRY,DESERT,13.5
91,50,40,20.82477109,230.2242223,RICE,DRY,DESERT,15
93,53,38,26.92995077,290.6793783,RICE,DRY,DESERT,14.5
90,44,38,23.83509503,241.2013513,RICE,DRY,DESERT,5.5
81,45,35,26.52872817,218.9163567,RICE,DRY,DESERT,14.5
78,40,38,26.46428311,248.2256491,RICE,DRY,DESERT,16
60,51,36,22.69657794,256.9964761,RICE,DRY,DESERT,15.5
88,46,42,22.68319059,194.2651719,RICE,DRY,DESERT,6.5
93,47,37,21.53346343,295.9248796,RICE,DRY,DESERT,9.5
60,55,45,21.40865769,287.5766935,RICE,DRY,DESERT,11
78,35,44,26.54348085,183.6222657,RICE,DRY,DESERT,10.5
65,37,40,23.35905428,188.413665,RICE,DRY,DESERT,1.5
71,54,16,22.61359953,87.75953857,CORN,WET,SEMI ARID,0.5
61,44,17,26.10018422,102.2662445,CORN,WET,SEMI ARID,5.8
80,43,16,23.55882094,66.71995467,CORN,WET,SEMI ARID,7.3
73,58,21,19.97215954,60.65171481,CORN,WET,SEMI ARID,6.8
61,38,20,18.47891261,65.43835393,CORN,WET,SEMI HUMID,0.3
68,41,16,21.77689322,102.0861694,CORN,WET,SEMI HUMID,4.1
93,41,17,25.6217169,105.4654703,CORN,WET,SEMI HUMID,5.6
89,60,19,25.19192419,78.06639649,CORN,WET,SEMI HUMID,5.1
76,44,17,20.41683147,65.27798457,CORN,WET,SEMI HUMID,0.1
67,60,25,24.92162194,109.2162279,CORN,WET,SEMI HUMID,5.1
70,44,19,23.31689124,94.29712821,CORN,WET,SEMI HUMID,6.6
90,49,21,24.84016732,74.05474936,CORN,WET,SEMI HUMID,6.1
62,52,16,22.27526694,63.87020584,CORN,WET,SEMI HUMID,0.4
92,44,16,18.87751445,94.76189431,CORN,WET,SEMI HUMID,6.2
66,54,21,25.19008683,72.12375573,CORN,WET,SEMI HUMID,7.7
63,58,22,18.25405352,63.72358154,CORN,WET,SEMI HUMID,7.2
70,47,17,24.6129118,104.1626147,CORN,WET,SEMI HUMID,0.5
61,41,17,25.1420613,76.68456006,CORN,WET,SEMI HUMID,7.3
66,53,19,23.09348056,65.49730729,CORN,WET,SEMI HUMID,8.8
74,55,19,18.05033737,84.23613484,CORN,WET,SEMI HUMID,8.3
77,57,21,24.9321581,79.74078719,CORN,WET,HUMID,0.8
99,50,15,18.14710054,88.07753741,CORN,WET,HUMID,3.5
74,56,22,18.28362235,80.97573281,CORN,WET,HUMID,5
83,45,21,18.83344471,79.7532896,CORN,WET,HUMID,4.5
100,48,16,25.71895816,74.51490791,CORN,WET,HUMID,0.1
79,51,16,25.33797709,96.46380213,CORN,WET,HUMID,4.6
94,39,18,23.89114571,102.8301942,CORN,WET,HUMID,6.1
75,49,15,21.53574127,102.4852929,CORN,WET,HUMID,5.6
78,48,22,23.08974909,70.43473609,CORN,WET,HUMID,0.2
87,54,20,25.61707368,108.8303762,CORN,WET,HUMID,5.7
87,35,25,21.44526922,65.88951188,CORN,WET,HUMID,7.2
63,43,19,18.51816776,90.988051,CORN,WET,HUMID,6.7
84,57,25,22.53510514,64.40866039,CORN,WET,HUMID,0.3
64,35,23,23.02038334,63.03843397,CORN,WET,HUMID,6.6
60,46,22,24.89364635,87.9298085,CORN,WET,HUMID,8.1
98,44,21,25.77175115,107.4931917,CORN,WET,HUMID,7.6
75,56,18,19.39851734,60.95197486,CORN,DRY,DESERT,0.5
86,55,21,21.54156232,109.7515385,CORN,DRY,DESERT,2.6
98,35,18,23.79746068,91.76337172,CORN,DRY,DESERT,4.1
76,57,18,18.9802729,94.26249353,CORN,DRY,DESERT,3.6
99,56,17,24.10859207,71.07562236,CORN,DRY,DESERT,0.1
60,44,23,24.7947077,76.72860067,CORN,DRY,DESERT,3.6
74,48,17,21.63162756,69.21803098,CORN,DRY,DESERT,5.1
89,60,17,25.37548751,101.7004306,CORN,DRY,DESERT,4.6
69,51,23,22.21738222,106.6213157,CORN,DRY,DESERT,0.1
96,46,22,20.58314011,66.29390357,CORN,DRY,DESERT,4.7
61,60,15,24.87502824,91.26056654,CORN,DRY,DESERT,6.2
74,58,18,20.03728219,109.024141,CORN,DRY,DESERT,5.7
74,43,23,25.95263264,99.57981207,CORN,DRY,DESERT,0.1
63,43,17,19.28889933,71.3195307,CORN,DRY,DESERT,5.6
99,36,20,20.57981887,78.34604471,CORN,DRY,DESERT,7.1
77,36,23,24.71417533,88.45361858,CORN,DRY,DESERT,6.6
87,60,23,20.27317074,62.50351892,CORN,DRY,SEMI ARID,0.3
60,38,17,18.41932981,76.41312437,CORN,DRY,SEMI ARID,1.64
94,54,17,23.39128187,107.3198135,CORN,DRY,SEMI ARID,3.14
95,38,22,19.84939404,100.7689246,CORN,DRY,DESERT,2.6
84,44,21,21.869274,107.2681929,CORN,DRY,DESERT,0.1
77,58,19,22.8056033,101.5952794,CORN,DRY,DESERT,2.6
66,44,20,19.0781471,80.72515943,CORN,DRY,DESERT,4.1
63,35,16,22.02720976,83.73280082,CORN,DRY,DESERT,3.6
79,45,20,23.80546189,89.9622014,CORN,HUMID,HUMID,0.1
72,60,25,18.52510753,88.10234397,CORN,HUMID,HUMID,3.7
67,51,24,23.50297882,64.77791424,CORN,HUMID,HUMID,5.2
86,36,24,26.54986394,73.33636055,CORN,HUMID,HUMID,4.6
76,48,18,19.29563411,83.21030571,CORN,HUMID,HUMID,0.1
75,53,18,20.68899915,103.651438,CORN,WET,DESERT,4.6
81,45,23,19.32666088,84.22969177,CORN,WET,DESERT,6.1
73,45,21,24.60532218,96.59195302,CORN,WET,DESERT,5.6
71,35,24,22.27373646,67.96704792,CORN,WET,DESERT,0.1
96,54,22,25.70196694,83.20711308,CORN,WET,DESERT,10.54
99,39,18,19.20129357,87.85092352,CORN,WET,DESERT,12
62,48,20,21.70181447,95.71388473,CORN,WET,DESERT,11.54
86,37,16,20.51716779,67.61013737,CORN,WET,DESERT,2.54
94,50,19,23.30355338,97.59081274,CORN,WET,DESERT,11.5
76,39,24,24.2547451,64.23845455,CORN,WET,DESERT,13
77,52,17,24.86374934,75.82270467,CORN,WET,DESERT,12.5
74,39,23,22.6265115,88.17251033,CORN,WET,DESERT,3.5
81,49,20,18.04185513,104.2321615,CORN,WET,DESERT,12.4
63,42,21,23.26237612,67.10225139,CORN,WET,DESERT,14
99,38,21,22.88330922,67.72777298,CORN,WET,DESERT,13.4
90,52,25,25.97482359,103.2234212,CORN,WET,DESERT,4.4
68,40,19,26.14384005,107.2361366,CORN,WET,SEMI ARID,13.6
60,57,24,18.66116213,75.03247667,CORN,WET,SEMI ARID,15
71,52,18,25.10787449,78.16077693,CORN,WET,SEMI ARID,14.6
61,59,17,23.33844615,105.0083144,CORN,WET,DESERT,5.6
88,38,15,25.08239719,62.49190812,CORN,WET,DESERT,9.6
65,60,22,25.36768364,107.9124111,CORN,WET,DESERT,11
78,37,22,25.34217103,74.52082026,CORN,WET,DESERT,10.6
78,58,15,25.00933355,62.91359494,CORN,WET,DESERT,1.6
92,60,23,18.66746724,69.93293255,CORN,WET,DESERT,10.7
79,59,17,20.37999665,108.5054416,CORN,WET,DESERT,12.2
91,55,15,18.09300227,78.96159541,CORN,WET,DESERT,11.7
76,51,18,26.16985907,79.84925393,CORN,WET,DESERT,2.7
87,48,25,18.65396672,93.62039175,CORN,WET,DESERT,11.6
71,60,22,26.07470121,85.75692395,CORN,WET,DESERT,13.1
90,57,24,18.92851916,82.34162918,CORN,WET,DESERT,12.6
67,35,22,23.30546753,108.7603001,CORN,WET,DESERT,3.6
60,54,19,18.74826712,70.23401597,CORN,WET,DESERT,12.5
83,58,23,19.74213321,65.50861389,CORN,WET,DESERT,14
83,57,19,25.73044432,98.73771338,CORN,WET,DESERT,13.5
40,72,77,17.02498456,88.55123143,CHICK PEAS,HUMID,DESERT,4.5
23,72,84,19.02061277,79.92698081,CHICK PEAS,HUMID,DESERT,8.4
39,58,85,17.88776475,68.54932919,CHICK PEAS,HUMID,DESERT,9.9
22,72,85,18.86805647,88.51048983,CHICK PEAS,HUMID,DESERT,9.4
36,67,77,18.36952567,79.26357665,CHICK PEAS,HUMID,DESERT,0.4
32,73,81,20.45078582,92.68373702,CHICK PEAS,HUMID,DESERT,9.5
58,70,84,20.6543203,74.6631118,CHICK PEAS,HUMID,DESERT,11
59,70,84,17.3348681,82.61734721,CHICK PEAS,HUMID,DESERT,10.5
42,62,75,18.17912258,81.84997529,CHICK PEAS,HUMID,DESERT,1.5
28,74,81,18.01272266,81.98568791,CHICK PEAS,HUMID,DESERT,10.4
58,66,79,20.99373558,93.55280105,CHICK PEAS,HUMID,DESERT,11.9
43,66,79,19.46233971,74.58565097,CHICK PEAS,HUMID,DESERT,11.4
58,63,81,19.81344531,78.96514709,CHICK PEAS,HUMID,DESERT,2.4
23,62,85,18.97424756,80.7108745,CHICK PEAS,HUMID,SEMI ARID,11.35
27,62,77,18.19737048,70.18185181,CHICK PEAS,HUMID,SEMI ARID,12.85
28,72,84,18.72963144,71.58010169,CHICK PEAS,HUMID,SEMI ARID,12.35
50,56,76,20.99502153,73.50734019,CHICK PEAS,HUMID,SEMI ARID,3.3
39,71,84,20.28155898,82.52339655,CHICK PEAS,HUMID,SEMI ARID,6.9
25,78,76,17.48042641,66.96980581,CHICK PEAS,HUMID,SEMI ARID,8.4
31,70,77,20.88818675,90.46228334,CHICK PEAS,HUMID,SEMI ARID,7.9
26,80,83,17.08498521,71.31007253,CHICK PEAS,HUMID,SEMI ARID,0.5
25,68,77,20.09340593,85.74904898,CHICK PEAS,HUMID,SEMI ARID,7.82
31,78,76,17.57212145,89.31050665,CHICK PEAS,HUMID,SEMI ARID,9.32
60,68,83,19.12065218,85.52950164,CHICK PEAS,HUMID,SEMI ARID,8.82
59,62,83,18.57665902,72.94940441,CHICK PEAS,HUMID,SEMI ARID,0.8
22,67,78,17.16606398,72.32667516,CHICK PEAS,HUMID,SEMI ARID,8.85
36,65,80,18.2872007,74.87445574,CHICK PEAS,HUMID,SEMI ARID,10.35
59,60,84,19.03025305,94.70992037,CHICK PEAS,HUMID,SEMI ARID,9.85
54,77,85,17.1418614,83.74606679,CHICK PEAS,HUMID,SEMI ARID,0.85
43,68,81,17.47809436,78.92060234,CHICK PEAS,HUMID,SEMI HUMID,9.7
28,76,82,20.56601874,83.75937135,CHICK PEAS,HUMID,SEMI HUMID,11.2
42,79,85,17.22385224,76.57580954,CHICK PEAS,HUMID,SEMI HUMID,10.7
32,60,83,19.69141713,91.76071648,CHICK PEAS,HUMID,SEMI HUMID,1.7
22,78,76,17.84851658,76.32470713,CHICK PEAS,HUMID,SEMI HUMID,8.06
31,79,75,18.8202251,89.73119396,CHICK PEAS,HUMID,SEMI HUMID,9.56
28,58,81,17.47500984,93.35034262,CHICK PEAS,HUMID,SEMI HUMID,9
57,58,77,18.72649425,81.20176515,CHICK PEAS,HUMID,SEMI HUMID,0.1
49,55,78,18.65580107,81.70769297,CHICK PEAS,HUMID,SEMI HUMID,9.1
46,76,77,18.2356751,83.74879344,CHICK PEAS,HUMID,SEMI HUMID,10.6
54,61,77,18.81198127,77.5429424,CHICK PEAS,HUMID,SEMI HUMID,10.1
38,60,76,18.65054116,77.92798682,CHICK PEAS,HUMID,SEMI HUMID,1.1
59,55,79,20.36720401,82.2545577,CHICK PEAS,HUMID,SEMI HUMID,10.25
36,76,75,18.38120357,70.52056697,CHICK PEAS,HUMID,SEMI HUMID,11.75
57,68,81,17.17012591,72.78624223,CHICK PEAS,HUMID,SEMI HUMID,11.25
35,66,81,19.37101121,85.24819851,CHICK PEAS,HUMID,SEMI HUMID,2.25
35,64,78,17.92845928,85.37378769,CHICK PEAS,HUMID,HUMID,11.1
52,60,79,19.45339934,75.6317566,CHICK PEAS,HUMID,HUMID,12.6
27,76,83,19.12829388,89.61857826,CHICK PEAS,HUMID,HUMID,12.1
57,60,84,19.1034283,75.49101167,CHICK PEAS,HUMID,HUMID,3.1
52,68,78,17.48504075,86.05078037,CHICK PEAS,HUMID,HUMID,7.15
43,79,79,19.40751744,80.25064637,CHICK PEAS,HUMID,HUMID,8.65
44,74,85,20.18649426,78.26039559,CHICK PEAS,HUMID,HUMID,8.15
24,55,78,17.30287885,75.57790384,CHICK PEAS,HUMID,HUMID,0.8
29,77,75,17.50361137,72.9446671,CHICK PEAS,HUMID,HUMID,8.1
20,60,78,18.17234999,90.7760707,CHICK PEAS,HUMID,HUMID,9.6
56,67,78,17.57445618,77.81891424,CHICK PEAS,HUMID,HUMID,9.1
37,66,85,20.93175255,78.06910795,CHICK PEAS,HUMID,HUMID,0.1
49,71,76,19.71098332,85.57925437,CHICK PEAS,HUMID,HUMID,9.2
59,69,80,19.07937684,69.40619137,CHICK PEAS,HUMID,HUMID,10.7
20,79,77,18.54988627,76.32565249,CHICK PEAS,HUMID,HUMID,10.2
24,56,85,18.19903647,80.6405403,CHICK PEAS,HUMID,HUMID,1.2
51,72,75,18.88852533,80.1113384,CHICK PEAS,WET,DESERT,10.1
57,73,85,18.49311205,91.94595352,CHICK PEAS,WET,DESERT,11.6
22,64,82,19.48974337,87.51312796,CHICK PEAS,WET,DESERT,11.1
52,73,79,17.25769499,94.00287214,CHICK PEAS,WET,DESERT,2.1
29,75,75,19.62416326,88.4585692,CHICK PEAS,WET,DESERT,5.88
44,59,78,20.67526473,84.78344008,CHICK PEAS,WET,DESERT,7.38
41,69,82,20.02381489,68.97806542,CHICK PEAS,WET,DESERT,6.88
52,56,85,20.1187446,88.68168643,CHICK PEAS,WET,DESERT,0.3
34,76,80,20.65691793,65.23811143,CHICK PEAS,WET,DESERT,6.8
42,74,83,19.2582557,65.78042032,CHICK PEAS,WET,DESERT,8.6
34,71,79,17.927806,74.63872762,CHICK PEAS,HUMID,DESERT,7.8
27,73,79,19.16288268,82.69766829,CHICK PEAS,HUMID,DESERT,0.6
30,70,79,20.26942271,69.64449182,CHICK PEAS,HUMID,DESERT,7.9
57,57,75,17.09104223,87.27444866,CHICK PEAS,HUMID,DESERT,9.4
27,79,82,17.06579293,70.87150577,CHICK PEAS,HUMID,DESERT,8.9
32,71,85,20.62767492,92.06630306,CHICK PEAS,HUMID,DESERT,0.8
31,76,82,20.8248451,79.20509212,CHICK PEAS,HUMID,DESERT,8.7
33,75,84,19.46210401,68.81405149,CHICK PEAS,HUMID,DESERT,10.5
47,80,77,17.18248372,72.85017344,CHICK PEAS,HUMID,DESERT,9.7
54,62,80,17.48911699,79.45758333,CHICK PEAS,HUMID,DESERT,0.7
47,79,78,17.48395377,65.11365631,CHICK PEAS,HUMID,DESERT,4.34
35,57,83,19.48316794,80.4986291,CHICK PEAS,HUMID,DESERT,5.84
53,73,77,19.71359733,73.64476535,CHICK PEAS,HUMID,DESERT,5.34
45,61,78,19.48649305,81.5284269,CHICK PEAS,HUMID,SEMI ARID,0.2
37,78,79,19.95264829,88.6810311,CHICK PEAS,HUMID,SEMI ARID,5.3
30,75,81,19.41789736,68.4951189,CHICK PEAS,HUMID,SEMI ARID,6.8
37,55,82,19.45591848,78.44910564,CHICK PEAS,HUMID,SEMI ARID,6.3
53,65,76,20.19137759,77.33795356,CHICK PEAS,HUMID,SEMI ARID,0.3
22,60,85,18.8392908,94.78189594,CHICK PEAS,HUMID,SEMI ARID,6.35
60,61,78,20.71219282,94.03659867,CHICK PEAS,HUMID,SEMI ARID,7.85
42,67,77,18.99424448,78.69707199,CHICK PEAS,HUMID,SEMI ARID,7.35
39,76,76,19.96837462,69.15759062,CHICK PEAS,HUMID,SEMI ARID,0.5
35,63,76,17.81564548,90.82097601,CHICK PEAS,HUMID,SEMI ARID,7.32
30,65,82,20.71424384,76.77888672,CHICK PEAS,HUMID,SEMI ARID,8.82
57,56,78,17.34150229,67.9545435,CHICK PEAS,HUMID,SEMI ARID,8.32
48,65,78,17.43732714,73.0926704,CHICK PEAS,HUMID,SEMI ARID,0.8
36,56,83,18.89780215,69.09512477,CHICK PEAS,HUMID,SEMI ARID,6.2
40,58,75,18.59190771,89.60982451,CHICK PEAS,HUMID,SEMI ARID,7.7
49,69,82,18.31561493,81.78710463,CHICK PEAS,HUMID,SEMI ARID,7.2
13,60,25,17.13692774,128.256862,SOYABEAN,DRY,DESERT,6.97
25,70,16,19.63474332,106.3598183,SOYABEAN,DRY,DESERT,8.47
31,55,22,22.91350245,109.225556,SOYABEAN,DRY,DESERT,7.8
40,64,16,16.43340342,140.3717815,SOYABEAN,DRY,DESERT,0.2
2,61,20,22.13974653,76.64128258,SOYABEAN,DRY,DESERT,7.9
26,65,22,17.84806561,143.0984171,SOYABEAN,DRY,DESERT,9.4
17,57,21,19.88394011,60.91974792,SOYABEAN,DRY,DESERT,8.9
26,80,18,19.32509638,104.7783947,SOYABEAN,DRY,DESERT,0.8
17,59,17,18.4167001,132.9801054,SOYABEAN,DRY,DESERT,8.8
27,59,22,21.81167649,130.0608093,SOYABEAN,DRY,DESERT,10.3
28,58,24,19.72702528,143.7630894,SOYABEAN,DRY,DESERT,9.8
25,57,19,17.15432954,87.99669731,SOYABEAN,DRY,DESERT,0.8
28,80,17,19.62207826,144.1567454,SOYABEAN,DRY,DESERT,9.95
25,60,22,21.63149148,134.3649948,SOYABEAN,DRY,DESERT,11.45
12,78,23,16.06522754,88.06638775,SOYABEAN,DRY,DESERT,10.95
6,77,25,20.61162204,69.63833855,SOYABEAN,DRY,DESERT,1.95
22,79,17,21.42451099,116.5206923,SOYABEAN,DRY,SEMI ARID,7.98
27,80,15,19.07096165,86.21917578,SOYABEAN,DRY,SEMI ARID,9.48
10,55,23,21.18853178,137.1948633,SOYABEAN,DRY,SEMI ARID,8.9
23,65,20,23.0429097,108.3684316,SOYABEAN,DRY,SEMI ARID,0.8
19,78,16,20.65375833,67.71768947,SOYABEAN,DRY,SEMI ARID,8.6
19,65,25,18.09551014,144.7902323,SOYABEAN,DRY,SEMI ARID,10.1
22,70,19,18.23775702,69.44951585,SOYABEAN,DRY,SEMI ARID,9.6
37,64,22,17.48189735,121.9401369,SOYABEAN,DRY,SEMI ARID,0.6
11,71,17,19.9191786,82.68554379,SOYABEAN,DRY,SEMI ARID,9.8
18,79,20,20.27514686,139.7521543,SOYABEAN,DRY,SEMI ARID,11.3
21,63,17,15.77370214,108.3441414,SOYABEAN,DRY,SEMI ARID,10.8
24,80,22,16.71170642,96.77285817,SOYABEAN,DRY,SEMI ARID,1.8
34,60,22,17.66148158,100.6711761,SOYABEAN,DRY,SEMI ARID,10.95
16,75,21,18.50692825,87.0513289,SOYABEAN,DRY,SEMI ARID,12.45
17,77,23,24.51324787,64.19497947,SOYABEAN,DRY,SEMI ARID,11.8
37,72,18,18.87614998,105.4120514,SOYABEAN,DRY,SEMI ARID,2.8
40,73,20,21.59343016,61.13872036,SOYABEAN,DRY,SEMI HUMID,5.53
9,77,17,20.12373284,106.158201,SOYABEAN,DRY,SEMI HUMID,7.03
1,62,23,15.43546065,139.0302034,SOYABEAN,DRY,SEMI HUMID,6.5
33,59,22,22.64236876,122.3886015,SOYABEAN,DRY,SEMI HUMID,0.1
23,59,19,21.98560799,129.5650601,SOYABEAN,DRY,SEMI HUMID,6.5
6,62,22,20.53052663,120.4509288,SOYABEAN,DRY,SEMI HUMID,8
25,63,20,15.78601387,95.17028129,SOYABEAN,DRY,SEMI HUMID,7.5
7,79,23,19.6365349,96.65888933,SOYABEAN,DRY,SEMI HUMID,0.5
8,72,17,20.57341244,87.87869161,SOYABEAN,DRY,SEMI HUMID,7.6
27,64,15,20.16080524,138.2362122,SOYABEAN,DRY,SEMI HUMID,9
28,66,23,21.53989176,120.6913038,SOYABEAN,DRY,SEMI HUMID,8.6
32,57,18,15.53834801,107.3850593,SOYABEAN,DRY,SEMI HUMID,0.8
27,56,22,19.91853092,108.6434544,SOYABEAN,DRY,SEMI HUMID,8.55
17,77,24,20.76952209,109.0193712,SOYABEAN,DRY,SEMI HUMID,10.05
0,65,15,23.46168338,95.84253438,SOYABEAN,DRY,SEMI HUMID,9.5
13,72,21,24.32116642,60.27552528,SOYABEAN,DRY,SEMI HUMID,0.55
34,60,23,20.12574053,100.0497183,SOYABEAN,DRY,HUMID,4.51
9,80,19,21.80619564,125.0972687,SOYABEAN,DRY,HUMID,6.01
11,72,20,19.52226241,113.334026,SOYABEAN,DRY,HUMID,5.51
3,67,24,17.00067625,103.2926407,SOYABEAN,DRY,HUMID,0.1
35,69,23,16.78791503,75.45328039,SOYABEAN,DRY,HUMID,5.5
3,77,25,24.84906168,62.21292186,SOYABEAN,DRY,HUMID,7
23,62,19,16.51783455,98.77794225,SOYABEAN,DRY,HUMID,6.5
22,71,17,18.15300153,107.6907964,SOYABEAN,DRY,HUMID,0.2
31,79,25,23.18864385,63.38208822,SOYABEAN,DRY,HUMID,6.5
34,59,18,23.38002569,87.66898664,SOYABEAN,DRY,HUMID,8
12,63,17,18.358923,138.414764,SOYABEAN,DRY,HUMID,7.5
27,56,20,19.25975367,94.9533526,SOYABEAN,DRY,HUMID,0.2
7,63,24,22.95458237,107.7315386,SOYABEAN,DRY,HUMID,7.8
24,67,22,20.120043,104.6252153,SOYABEAN,DRY,HUMID,9.3
11,71,24,21.14011423,141.6056722,SOYABEAN,DRY,HUMID,8.8
37,74,15,24.92360104,62.7089169,SOYABEAN,DRY,HUMID,0.8
25,76,24,15.33042636,135.3315583,SOYABEAN,HUMID,DESERT,5.33
34,66,17,18.81097271,125.084915,SOYABEAN,HUMID,DESERT,6.83
20,69,15,23.44260668,107.4137246,SOYABEAN,HUMID,DESERT,6.33
37,65,16,22.8352024,63.59276673,SOYABEAN,HUMID,DESERT,0.5
